NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
,47,SMK,DISARM,SMOKER_TAMPER_ON,10,NO_SOUND,DISARM,NO_CHK,10,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,48,SMK,DISARM,SMOKER_TAMPER_ON,10,NO_SOUND,DISARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20007,N
,49,SMK,DISARM,SMOKER_TAMPER_ON,10,NO_SOUND,DISARM,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,50,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,51,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,52,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20007,N
,53,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,54,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,55,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20007,N
,56,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,140,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,57,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,58,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,59,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20007,N
,60,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20014,N
,61,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,STAY_ARM,20003,N
,62,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20007,N
,63,SMK,DISARM,SMOKER_TAMPER_ON,60,NO_SOUND,DISARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,DISARM,NO_CHK,N
,64,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,N,AWAY_ARM,SOUND,ALARM,20006,N
,65,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,N,STAY_ARM,SOUND,ALARM,20008,N
,66,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20002,N
,67,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
,68,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,Y,AWAY_ARM,SOUND,ALARM,20006,N
,69,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,Y,STAY_ARM,SOUND,ALARM,20008,N
,70,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20002,N
,71,SMK,DISARM,SMOKER_ON_10S,10,SOUND,ALARM,NO_CHK,10,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,N
,72,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,N,AWAY_ARM,SOUND,ALARM,20006,N
,73,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,N,STAY_ARM,SOUND,ALARM,20008,N
,74,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,N,DISARM,NO_SOUND,DISARM,20002,N
,75,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,N,DISARM_PIN_FAIL,SOUND,ALARM,NO_CHK,N
,76,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,Y,AWAY_ARM,SOUND,ALARM,20006,N
,77,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,Y,STAY_ARM,SOUND,ALARM,20008,N
,78,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,Y,DISARM,NO_SOUND,DISARM,20002,N
,79,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,140,NOTHING,NOTHING,SOUND,ALARM,NO_CHK,N
,80,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,N,AWAY_ARM,NO_SOUND,ALARM,20006,N
,81,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,N,STAY_ARM,NO_SOUND,ALARM,20008,N
,82,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,N,DISARM,NO_SOUND,DISARM,20002,N
,83,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,N,DISARM_PIN_FAIL,NO_SOUND,ALARM,NO_CHK,N
,84,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,Y,AWAY_ARM,NO_SOUND,ALARM,20006,N
,85,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,Y,STAY_ARM,NO_SOUND,ALARM,20008,N
,86,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,Y,DISARM,NO_SOUND,DISARM,20002,N
,87,SMK,DISARM,SMOKER_ON_10S,60,SOUND,ALARM,NO_CHK,250,NOTHING,NOTHING,NO_SOUND,ALARM,NO_CHK,N
N,88,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,89,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,90,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20002,N
N,91,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
